codigo,nombre_producto,tipo_envase,destino,posibles_lineas_produccion
4-03-0777-0023,RON VIEJO DE CALDAS TRADICIONAL 250 TETRAPACK 35°,250T,UNIVERSAL,TETRA250
4-03-0772-0930,RON VIEJO DE CALDAS TRADICIONAL 1000 VIDRIO 35°,1000NI,UNIVERSAL,1
4-03-0777-0025,RON VIEJO DE CALDAS TRADICIONAL 1000 VIDRIO 35°,1000NI,UNIVERSAL,1
4-03-0772-0931,RON VIEJO DE CALDAS TRADICIONAL 1750 VIDRIO 35°,1750-AD,UNIVERSAL,4
4-03-0777-0026,RON VIEJO DE CALDAS TRADICIONAL 1750 VIDRIO 35°,1750-AD,UNIVERSAL,4
4-03-0777-0028,RON VIEJO DE CALDAS 15 GRAN RESERVA ESPECIAL 750 VIDRIO 35°,750CV-15,UNIVERSAL,4
4-03-0777-0031,RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 35° DEG,750NI,UNIVERSAL,2
4-03-0777-0665,RON VIEJO DE CALDAS TRADICIONAL 1000 TETRAPACK 35°N IM,1000T,UNIVERSAL,TETRA1000
4-04-0777-0924,CREMA DE RVC CHEERS 50 SHOT 15.1°,50P,UNIVERSAL,SHOT
4-03-2491-0985,RON VIEJO DE CALDAS 3 AÑOS 50 SHOT 40° 12X10 UND,50P,UNIVERSAL,SHOT
4-03-0777-0918,RON VIEJO DE CALDAS ROBLE BLANCO 50 SHOT 35° 12X10 UND,50P,UNIVERSAL,SHOT
4-01-0777-0916,AGUARDIENTE AMARILLO DE MANZANARES SA 50 SHOT 24° 12X10 UND,50P,UNIVERSAL,SHOT
4-05-0777-0927,LICOR DE RON VIEJO DE CALDAS ESENCIAL 1000 VIDRIO 29°,1000NI,UNIVERSAL,1
4-05-0777-0917,LICOR DE RON VIEJO DE CALDAS ESENCIAL 50 SHOT 29° 12X10 UND,50P,UNIVERSAL,SHOT
4-03-0777-0670,RON VIEJO DE CALDAS TRADICIONAL 50 SHOT 35° 12X10 UND,50P,UNIVERSAL,SHOT
4-03-0772-0933,RON VIEJO DE CALDAS 5 JUAN DE LA CRUZ 750 VIDRIO 35°,750NI,UNIVERSAL,2
4-03-0777-0756,RON VIEJO DE CALDAS 5 JUAN DE LA CRUZ 750 VIDRIO 35°,750NI,UNIVERSAL,2
4-03-0777-0760,RON VIEJO DE CALDAS 5 JUAN DE LA CRUZ 375 VIDRIO 35°,375NI,UNIVERSAL,1
4-03-0777-0780,RON VIEJO DE CALDAS ROBLE BLANCO 750 VIDRIO 35°,750NI,UNIVERSAL,1
4-03-0777-0952,RON VIEJO DE CALDAS 8 CARTA DE ORO 750 VIDRIO 35°EST+2 VASOS,750CV-8,UNIVERSAL,SEMI
4-03-0777-0920,RON VIEJO DE CALDAS ROBLE BLANCO 750 VIDRIO 35° EST+2 C,750NI,UNIVERSAL,SEMI
4-03-0777-1070,RON VIEJO DE CALDAS LEON DORMIDO FINALIZADO 750 VIDRIO 40°,750CV-21,UNIVERSAL,4
4-03-0000-1071,SEMITERMINADO RVC LEON DORMIDO FINALIZADO 750 VIDRIO 40°EXP,750CV-21,UNIVERSAL,4
4-03-0777-0877,RON VIEJO DE CALDAS 5 JUAN DE LA CRUZ 750 VIDRIO 35° EST+2 V,750NI,UNIVERSAL,SEMI
4-03-0777-1235,RON VIEJO DE CALDAS OSCURO 700 VIDRIO 35°,700NI,UNIVERSAL,2
4-03-0777-1343,RON VIEJO DE CALDAS OSCURO 375 VIDRIO 35°,375NI,UNIVERSAL,1
4-03-0880-0238,RON VIEJO DE CALDAS TRADICIONAL 375 VIDRIO 35°,375NI,SAN ANDRES,3
4-03-0880-0240,RON VIEJO DE CALDAS TRADICIONAL 750 VIDRIO 35°,750NI,SAN ANDRES,2
4-03-0880-0241,RON VIEJO DE CALDAS TRADICIONAL 1750 VIDRIO 35°,1750-AD,SAN ANDRES,4
4-03-0880-0548,RON VIEJO DE CALDAS 15 GRAN RESERVA ESPECIAL 750 VIDRIO 35°,750CV-15,SAN ANDRES,4
4-03-0880-0957,RON VIEJO DE CALDAS 8 CARTA DE ORO 750 VIDRIO 35°,750CV-8,SAN ANDRES,SEMI
4-03-0880-0956,RON VIEJO DE CALDAS 8 CARTA DE ORO 375 VIDRIO 35°,375CV-8,SAN ANDRES,4
4-03-0880-0559,RON VIEJO DE CALDAS TRADICIONAL 1000 VIDRIO 35° N IM,1000NI,SAN ANDRES,1
4-03-0880-0845,RON VIEJO DE CALDAS 5 JUAN DE LA CRUZ 750 VIDRIO 35°,750NI,SAN ANDRES,2
